id;name;wine_type;barcode;brand;company;research_year;vintage;sugar;color;price;price_for;rating_gost;rating;url
641;Шато Южное. Рислинг. вино сухое белое географического наименования  2015;Белое;4630016401100;Усадьба Саркел;;2019;2015;Сухое;Белое;472;0.75;64.67;3.234;https://rskrf.ru//goods/shato-yuzhnoe-risling-vino-sukhoe-beloe-geograficheskogo-naimenovaniya-2015/
642;"
                        Fanagoria Muscat Ottonel semisweet игристое полусладкое белое. Вино с ЗГУ «Кубань. Таманский полуостров»                       ";Игристое;4603040012635;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;Без указания года;Полусладкое;Белое;400;0.75;82.42;4.121;https://rskrf.ru//goods/fanagoria-muscat-ottonel-semisweet-igristoe-polusladkoe-beloe-vino-s-zgu-kuban-tamanskiy-poluostrov-/
643;Fanagoria Брют игристое брют белое. Вино с ЗГУ «Кубань. Таманский полуостров»  2018;Игристое;4603040012611;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2018;Брют;Белое;320;0.75;80.73;4.037;https://rskrf.ru//goods/fanagoria-bryut-igristoe-bryut-beloe-vino-s-zgu-kuban-tamanskiy-poluostrov-2018/
644;Автохтон. Саперави 2016;Красное;4603040011959;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;518;0.75;85.11;4.256;https://rskrf.ru//goods/vino-zashchishchennogo-geograficheskogo-ukazaniya-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-avtokhto/
645;Каберне-Мерло. Авторское вино 2016;Красное;4603040012253;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;449;0.75;83.6;4.180;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-kaberne--502c5f/
646;F-Style Каберне. вино сухое красное. ЗГУ «Кубань. Таманский полуостров» 2017;Красное;4603040011843;Фанагория;;2019;2017;Сухое;Красное;365;0.75;83.2;4.160;https://rskrf.ru//goods/fanagoriya-f-style-kaberne-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017-52c15a/
647;Fanagoria Автохтон Саперави. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2018;Красное;4603040011959;Фанагория;"ОАО ""АПФ ""Фанагория""";2020;2018;Сухое;Красное;520;0.75;83;4.150;https://rskrf.ru//goods/fanagoria-avtokhton-saperavi-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
648;Fanagoria Авторское вино Каберне-Цимлянский черный. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2019;Красное;4603040012277;Фанагория;"ОАО ""АПФ ""Фанагория""";2020;2019;Сухое;Красное;299;0.75;82.99;4.150;https://rskrf.ru//goods/fanagoria-avtorskoe-vino-kaberne-tsimlyanskiy-chernyy-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-k/
649;Цимлянский Черный. Номерной резерв 2016;Красное;4603040012147;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;357;0.75;82.78;4.139;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-tsimlyan/
650;Fanagoria F-Style Cabernet. Вино с ЗГУ «Кубань.Таманский полуостров». Сухое красное  2018;Красное;4603040011843;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2018;Сухое;Красное;386;0.75;82.66;4.133;https://rskrf.ru//goods/fanagoria-f-style-cabernet-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
651;F-Style Fanagoria Саперави. Вино с ЗГУ «Кубань.Таманский полуостров». Сухое красное  2019;Красное;4603040011867;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2019;Сухое;Красное;425;0.75;82.65;4.133;https://rskrf.ru//goods/f-style-fanagoria-saperavi-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
652;Fanagoria Cru Lermont Cabernet Sauvignon. Вино защищенного наименования места происхождения «Сенной». Сухое красное выдержанное  2016;Красное;4603040014264;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2016;Сухое;Красное;459;0.75;82.6;4.130;https://rskrf.ru//goods/fanagoria-cru-lermont-cabernet-sauvignon-vino-zashchishchennogo-naimenovaniya-mesta-proiskhozhdeniya/
653;Fanagoria Автохтон Цимлянский черный. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное 2019;Красное;4603040011942;Фанагория;"ОАО ""АПФ ""Фанагория""";2020;2019;Сухое;Красное;530;0.75;82.41;4.121;https://rskrf.ru//goods/fanagoria-avtokhton-tsimlyanskiy-chernyy-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
654;Fanagoria. Cru Lermont Merlot. Вино защищенного наименования места происхождения «Сенной». Сухое красное выдержанное 2017;Красное;4603040014288;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2017;Сухое;Красное;690;0.75;82.24;4.112;https://rskrf.ru//goods/fanagoria-cru-lermont-merlot-vino-zashchishchennogo-naimenovaniya-mesta-proiskhozhdeniya-sennoy-sukh/
655;F-Style Саперави. вино сухое красное. ЗГУ «Кубань. Таманский полуостров»  2017;Красное;4603040011867;Фанагория;;2019;2017;Сухое;Красное;385;0.75;82.22;4.111;https://rskrf.ru//goods/fanagoriya-f-style-saperavi-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017/
656;Автохтон Красностоп. вино сухое красное. ЗГУ «Кубань. Таманский полуостров» 2017;Красное;4603040011935;Фанагория;;2019;2017;Сухое;Красное;550;0.75;82.11;4.106;https://rskrf.ru//goods/fanagoriya-avtokhton-krasnostop-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017/
657;Авторское вино Fanagoria Каберне-Саперави. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2019;Красное;4603040012260;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2019;Сухое;Красное;369;0.75;82;4.100;https://rskrf.ru//goods/avtorskoe-vino-fanagoria-kaberne-saperavi-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
658;Автохтон Саперави. вино сухое красное. ЗГУ «Кубань. Таманский полуостров» 2018;Красное;4603040011959;Фанагория;;2019;2018;Сухое;Красное;470;0.75;81.91;4.096;https://rskrf.ru//goods/fanagoriya-avtokhton-saperavi-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
659;Автохтон. Цимлянский Черный 2016;Красное;4603040011942;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;549;0.75;81.79;4.090;https://rskrf.ru//goods/vino-s-zashchishchennym-geograficheskim-ukazaniem-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-avtokhto/
660;Fanagoria F-Style Merlot. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2018;Красное;4603040011850;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2018;Сухое;Красное;365;0.75;81.64;4.082;https://rskrf.ru//goods/fanagoria-f-style-merlot-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
661;Fanagoria. Авторское вино. Саперави-Красностоп. Вино с ЗГУ «Кубань.Таманский полуостров». Сухое красное 2019;Красное;4603040012291;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2019;Сухое;Красное;420;0.75;81.59;4.080;https://rskrf.ru//goods/fanagoria-avtorskoe-vino-saperavi-krasnostop-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-20/
662;F-Style Пти Вердо. вино сухое красное. ЗГУ «Кубань. Таманский полуостров»  2016;Красное;4603040014004;Фанагория;;2019;2016;Сухое;Красное;440;0.75;81.57;4.079;https://rskrf.ru//goods/fanagoriya-f-style-pti-verdo-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
663;Авторское Саперави Красностоп. вино сухое красное. ЗГУ «Кубань. Таманский полуостров» 2018;Красное;4603040012291;Фанагория;;2019;2018;Сухое;Красное;420;0.75;81.22;4.061;https://rskrf.ru//goods/fanagoriya-avtorskoe-saperavi-krasnostop-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
664;Крю Лермонт Пино Нуар. выдержанное сухое красное 2017;Красное;4603040014110;Фанагория;;2019;2017;Сухое;Красное;680;0.75;81.2;4.060;https://rskrf.ru//goods/fanagoriya-kryu-lermont-pino-nuar-vino-sennoy-vyderzhannoe-sukhoe-krasnoe-2017/
665;Fanagoria Авторское вино Каберне-Мерло. Вино с ЗГУ «Кубань.Таманский полуостров». Сухое красное  2019;Красное;4603040012253;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2019;Сухое;Красное;369;0.75;81.2;4.060;https://rskrf.ru//goods/fanagoria-avtorskoe-vino-kaberne-merlo-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
666;Авторское Каберне Цимлянский черный. вино сухое красное. ЗГУ «Кубань. Таманский полуостров» 2018;Красное;4603040012277;Фанагория;;2019;2018;Сухое;Красное;410;0.75;81.1;4.055;https://rskrf.ru//goods/fanagoriya-avtorskoe-kaberne-tsimlyanskiy-chernyy-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe/
667;Каберне – Цимлянский Черный. Авторское вино 2016;Красное;4603040012277;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;426;0.75;81.01;4.051;https://rskrf.ru//goods/vino-zashchishchennogo-geograficheskogo-ukazaniya-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-kaberne-/
668;Авторское Каберне Саперави. вино сухое красное. ЗГУ «Кубань. Таманский полуостров» 2017;Красное;4603040012260;Фанагория;;2019;2017;Сухое;Красное;420;0.75;80.77;4.039;https://rskrf.ru//goods/fanagoriya-avtorskoe-kaberne-saperavi-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017/
669;Авторское Пино Нуар Мерло. вино сухое красное. ЗГУ «Кубань. Таманский полуостров» 2017;Красное;4603040012284;Фанагория;;2019;2017;Сухое;Красное;310;0.75;80.7;4.035;https://rskrf.ru//goods/fanagoriya-avtorskoe-pino-nuar-merlo-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017/
670;Авторское Каберне Мерло. вино сухое красное. ЗГУ «Кубань. Таманский полуостров»  2017;Красное;4603040012253;Фанагория;;2019;2017;Сухое;Красное;395;0.75;80.6;4.030;https://rskrf.ru//goods/fanagoriya-avtorskoe-kaberne-merlo-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017/
671;Автохтон Цимлянский черный. вино сухое красное. ЗГУ «Кубань. Таманский полуостров»  2017;Красное;4603040011942;Фанагория;;2019;2017;Сухое;Красное;360;0.75;80.47;4.024;https://rskrf.ru//goods/fanagoriya-avtokhton-tsimlyanskiy-chernyy-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017/
672;Мерло F-Style 2016;Красное;4603040011850;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Красное;357;0.75;80.23;4.012;https://rskrf.ru//goods/vino-zashchishchennogo-geograficheskogo-ukazaniya-kuban-tamanskiy-poluostorov-sukhoe-krasnoe-merlo/
673;Авторское вино № 1. вино сухое красное. ЗГУ «Кубань. Таманский полуостров» 2018;Красное;4603040012246;Фанагория;;2019;2018;Сухое;Красное;410;0.75;80.1;4.005;https://rskrf.ru//goods/fanagoriya-avtorskoe-vino-1-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
674;Fanagoria Авторское вино Пино Нуар-Мерло. Вино с ЗГУ «Кубань. Таманский полуостров». Сухое красное  2019;Красное;4603040012284;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2019;Сухое;Красное;369;0.75;80.08;4.004;https://rskrf.ru//goods/fanagoria-avtorskoe-vino-pino-nuar-merlo-vino-s-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2019/
675;Reserve Фанагории Каберне. вино полусладкое красное географического наименования  2018;Красное;4603040014547;Фанагория;;2019;2018;Полусладкое;Красное;229;0.75;80.01;4.001;https://rskrf.ru//goods/fanagoriya-reserve-fanagorii-kaberne-vino-geograficheskogo-naimenovaniya-polusladkoe-krasnoe-2018/
676;F-Style Каберне. вино сухое красное. ЗГУ «Кубань. Таманский полуостров»  2017;Красное;4603040011843;Фанагория;;2019;2017;Сухое;Красное;440;0.75;79.77;3.989;https://rskrf.ru//goods/fanagoriya-f-style-kaberne-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2017/
677;F-Style Мерло. вино сухое красное. ЗГУ «Кубань. Таманский полуостров»  2018;Красное;4603040011850;Фанагория;;2019;2018;Сухое;Красное;440;0.75;79.32;3.966;https://rskrf.ru//goods/fanagoriya-f-style-merlo-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-krasnoe-2018/
678;Авторское вино Каберне-Мерло. вино сухое красное географического наименования 2018;Красное;4603040014578;Фанагория;;2019;2018;Сухое;Красное;259;0.75;78.32;3.918;https://rskrf.ru//goods/fanagoriya-avtorskoe-vino-kaberne-merlo-vino-geograficheskogo-naimenovaniya-sukhoe-krasnoe-2018/
679;Фанагория. Fine Select. Мерло. вино столовое полусладкое красное  2018;Красное;4603040011980;Фанагория;;2019;2018;Полусладкое;Красное;390;0.75;76.34;3.817;https://rskrf.ru//goods/fanagoriya-fine-select-merlo-vino-stolovoe-polusladkoe-krasnoe-2018/
680;Фанагория. Каберне. Fine Select. вино столовое полусладкое красное  2017;Красное;4603040011973;Фанагория;;2019;2017;Полусладкое;Красное;299;0.75;76.3;3.815;https://rskrf.ru//goods/fanagoriya-kaberne-fine-select-vino-stolovoe-polusladkoe-krasnoe-2017/
681;Крю Лермонт Шардоне Фанагории 2016;Белое;4603040013724;Фанагория;АПФ ФАНАГОРИЯ ОАО;2018;2016;Сухое;Белое;773;0.75;86.9;4.345;https://rskrf.ru//goods/vino-zashchishchennogo-naimenovaniya-mesta-proiskhozhdeniya-sennoy-sukhoe-beloe-vyderzhannoe/
682;Крю Лермонт Шардоне. вино Сенной. выдержанное сухое белое 2017;Белое;4603040014103;Фанагория;;2019;2017;Сухое;Белое;555;0.75;83.5;4.175;https://rskrf.ru//goods/fanagoriya-kryu-lermont-shardone-vino-sennoy-vyderzhannoe-sukhoe-beloe-2017/
683;Fanagoria. F-Style. Cabernet Blanc. Вино с ЗГУ «Кубань. Таманский полуостров». Полусухое белое 2019;Белое;4603040011898;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2019;Полусухое;Белое;398;0.75;82.83;4.142;https://rskrf.ru//goods/fanagoria-f-style-cabernet-blanc-vino-s-zgu-kuban-tamanskiy-poluostrov-polusukhoe-beloe-2019-bez-uka/
684;Авторское Шардоне-Алиготе. вино сухое белое. ЗГУ «Кубань. Таманский полуостров» 2017;Белое;4603040012215;Фанагория;;2019;2017;Сухое;Белое;420;0.75;82.6;4.130;https://rskrf.ru//goods/fanagoriya-avtorskoe-shardone-aligote-vino-zgu-kuban-tamanskiy-poluostrov-sukhoe-beloe-2017/
685;Fanagoria F-Style Platovskiy. Вино с ЗГУ «Кубань. Таманский полуостров». Полусухое белое 2018;Белое;4607062864630;Фанагория;"ОАО ""АПФ ""Фанагория""";2020;2018;Полусухое;Белое;395;0.75;82.5;4.125;https://rskrf.ru//goods/fanagoria-f-style-platovskiy-vino-s-zgu-kuban-tamanskiy-poluostrov-polusukhoe-beloe-2018-bez-ukazani/
686;Fanagoria Chardonnay Cru Lermont. Вино защищенного наименования места происхождения «Сенной». Сухое белое выдержанное 2018;Белое;4603040014240;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия. 353540. Краснодарский край. Темрюкский район. п. Сенной. ул. Мира. 49";2020;2018;Сухое;Белое;569;0.75;82.46;4.123;https://rskrf.ru//goods/fanagoria-chardonnay-cru-lermont-vino-zashchishchennogo-naimenovaniya-mesta-proiskhozhdeniya-sennoy-/
