N;name;wine_type;barcode;brand;company;research_year;vintage;sugar;color;price;price_for;rating_gost;rating;url
10;Портвейн белый Крымский 2011;Ликерное;4680017724401;Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2011;;Белое;375;075;85.11;4.2555;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-vyderzhannoe-beloe--b74c50/
11;Fanagoria Кагор, ликерное вино с ЗГУ «Кубань. Таманский полуостров» 2019;Ликерное;4603040011836;Фанагория;"ОАО ""АПФ ""Фанагория"" Россия, 353540, Краснодарский край, Темрюкский район, п. Сенной, ул. Мира, 49";2020;2019;Сладкое;Красное;339;075;85.1;4.2550;https://rskrf.ru//goods/fanagoria-kagor-likernoe-vino-s-zgu-kuban-tamanskiy-poluostrov-2019/
12;Солнечная Долина Кагор, ликерное вино с ЗГУ «Крым» (специальное вино) красное 2019;Ликерное;4610015993226;Солнечная долина;"АО ""Солнечная Долина""";2020;2019;Сладкое;Красное;610;075;85.08;4.2540;https://rskrf.ru//goods/solnechnaya-dolina-kagor-likernoe-vino-s-zgu-krym-spetsialnoe-vino-krasnoe-2019/
13;Derbend, ликерное вино выдержанное Дербент  ;Ликерное;4600076115309;Derbend;"АО ""Дербентский коньячный комбинат""";2020;Без указания года;Сладкое;Белое;967;075;84.93;4.2465;https://rskrf.ru//goods/derbend-likernoe-vino-vyderzhannoe-derbent-/
14;Портвейн белый Сурож 2011;Ликерное;4680017724074;Портвейн белый Сурож - Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2011;;Белое;428;075;84.6;4.2300;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-vyderzhannoe-beloee/
15;Портвейн Крымский Солнечной Долины 2010;Ликерное;4610015993202;Солнечная долина;СОЛНЕЧНАЯ ДОЛИНА АО;2018;2010;;Белое;550;075;84.45;4.2225;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-vyderzhannoe-beloe--73f17a/
16;Портвейн красный Алушта 2015;Ликерное;4680017724098;Портвейн красный Алушта - Массандра;"ППО ФГУП ПАО ""МАССАНДРА"" УДП РФ";2018;2015;;Красное;430;075;84.42;4.2210;https://rskrf.ru//goods/likernoe-vino-s-zashchishchennym-geograficheskim-ukazaniem-krym-spetsialnoe-vino-krasnoe-portveyn-kr/
17;Массандра Мадера Крымская, ликерное вино с ЗГУ «Крым» (специальное вино) выдержанное белое 2015;Ликерное;4680017723770;Массандра;"ГУП Республики Крым ""Производственно-аграрное объединение ""Массандра""";2020;2015;Сладкое;Белое;439;075;84.3;4.2150;https://rskrf.ru//goods/massandra-madera-krymskaya-likernoe-vino-s-zgu-krym-spetsialnoe-vino-vyderzhannoe-beloe-2015/
18;Мускатное Фестивальное, ликерное вино с ЗГУ «Крым» (специальное вино), розовое ;Ликерное;4610015993264;Солнечная Долина;;2019;Без указания года;Сладкое;Розовое;439;075;84.3;4.2150;https://rskrf.ru//goods/muskatnoe-festivalnoe-likernoe-vino-s-zgu-krym-spetsialnoe-vino-rozovoe-/
19;Массандра Кагор Партенит, ликерное вино с ЗГУ «Крым» (специальное вино) красное 2019;Ликерное;4680017723695;Массандра;"ГУП Республики Крым ""Производственно-аграрное объединение ""Массандра""";2020;2019;Сладкое;Красное;309;075;84.16;4.2080;https://rskrf.ru//goods/massandra-kagor-partenit-likernoe-vino-s-zgu-krym-spetsialnoe-vino-krasnoe-2019/
